¿ùº°,°ü¶÷°´,¿¹Ãø(°ü¶÷°´),³·Àº ½Å·Ú ÇÑ°è(°ü¶÷°´),³ôÀº ½Å·Ú ÇÑ°è(°ü¶÷°´)
2009-06-30,1479,,,
2009-07-31,6610,,,
2009-08-31,8265,,,
2009-09-30,3474,,,
2009-10-31,5281,,,
2009-11-30,3411,,,
2009-12-31,4001,,,
2010-01-31,5332,,,
2010-02-28,3439,,,
2010-03-31,4749,,,
2010-04-30,5253,,,
2010-05-31,7904,,,
2010-06-30,6049,,,
2010-07-31,5338,,,
2010-08-31,6452,,,
2010-09-30,4492,,,
2010-10-31,4230,,,
2010-11-30,3443,,,
2010-12-31,2932,,,
2011-01-31,3105,,,
2011-02-28,3875,,,
2011-03-31,3988,,,
2011-04-30,4494,,,
2011-05-31,6361,,,
2011-06-30,3786,,,
2011-07-31,2964,,,
2011-08-31,3750,,,
2011-09-30,3103,,,
2011-10-31,5251,,,
2011-11-30,2924,,,
2011-12-31,2836,,,
2012-01-31,2961,,,
2012-02-29,2445,,,
2012-03-31,2526,,,
2012-04-30,4699,,,
2012-05-31,4449,,,
2012-06-30,3229,,,
2012-07-31,2101,,,
2012-08-31,1790,,,
2012-09-30,1621,,,
2012-10-31,5389,,,
2012-11-30,2726,,,
2012-12-31,2502,,,
2013-01-31,2129,,,
2013-02-28,4020,,,
2013-03-31,4523,,,
2013-04-30,6398,,,
2013-05-31,5133,,,
2013-06-30,2895,,,
2013-07-31,2299,,,
2013-08-31,3637,,,
2013-09-30,7071,,,
2013-10-31,7173,,,
2013-11-30,3256,,,
2013-12-31,2529,,,
2014-01-31,3048,,,
2014-02-28,2800,,,
2014-03-31,2939,,,
2014-04-30,4882,,,
2014-05-31,5679,,,
2014-06-30,2951,,,
2014-07-31,2261,,,
2014-08-31,2393,,,
2014-09-30,6132,,,
2014-10-31,7068,,,
2014-11-30,3789,,,
2014-12-31,1412,,,
2015-01-31,2846,,,
2015-02-28,3193,,,
2015-03-31,2755,,,
2015-04-30,5151,,,
2015-05-31,5294,,,
2015-06-30,2374,,,
2015-07-31,2399,,,
2015-08-31,4077,,,
2015-09-30,7344,,,
2015-10-31,6006,,,
2015-11-30,2900,,,
2015-12-31,1871,,,
2016-01-31,2562,,,
2016-02-29,3601,,,
2016-03-31,2263,,,
2016-04-30,5215,,,
2016-05-31,4526,,,
2016-06-30,3089,,,
2016-07-31,3160,,,
2016-08-31,3067,,,
2016-09-30,6290,,,
2016-10-31,7426,,,
2016-11-30,3921,,,
2016-12-31,3769,,,
2017-01-31,4514,,,
2017-02-28,3530,,,
2017-03-31,3421,,,
2017-04-30,6707,,,
2017-05-31,6442,,,
2017-06-30,4758,,,
2017-07-31,3817,,,
2017-08-31,3825,,,
2017-09-30,3971,,,
2017-10-31,5494,,,
2017-11-30,2836,,,
2017-12-31,1331,,,
2018-01-31,2014,,,
2018-02-28,3924,,,
2018-03-31,2955,,,
2018-04-30,5454,,,
2018-05-31,4313,,,
2018-06-30,3082,,,
2018-07-31,2549,,,
2018-08-31,2903,,,
2018-09-30,6340,,,
2018-10-31,5591,,,
2018-11-30,3912,,,
2018-12-31,2456,,,
2019-01-31,2392,,,
2019-02-28,3793,,,
2019-03-31,2265,,,
2019-04-30,4560,,,
2019-05-31,5839,,,
2019-06-30,4712,,,
2019-07-31,3956,,,
2019-08-31,4618,,,
2019-09-30,5674,,,
2019-10-31,4902,,,
2019-11-30,4852,,,
2019-12-31,2360,,,
2020-01-31,3465,,,
2020-02-29,1531,,,
2020-03-31,0,,,
2020-04-30,0,,,
2020-05-31,1194,,,
2020-06-30,1655,,,
2020-07-31,1780,,,
2020-08-31,2347,,,
2020-09-30,55,,,
2020-10-31,2067,,,
2020-11-30,2014,,,
2020-12-31,1030,,,
2021-01-31,890,,,
2021-02-28,1370,,,
2021-03-31,1191,,,
2021-04-30,1246,,,
2021-05-31,2437,,,
2021-06-30,1472,,,
2021-07-31,1370,,,
2021-08-31,1764,,,
2021-09-30,1693,,,
2021-10-31,1730,,,
2021-11-30,1805,,,
2021-12-31,1089,1089,1089.00,1089.00
2022-01-31,,1491.548869,-1679.74,4662.84
2022-03-03,,1459.355698,-1756.20,4674.91
2022-03-31,,1242.611542,-2017.13,4502.35
2022-05-01,,2749.2001,-554.65,6053.05
2022-05-31,,3591.488292,243.60,6939.38
2022-07-01,,2153.077101,-1238.79,5544.94
2022-07-31,,1845.76858,-1590.01,5281.55
2022-08-31,,2460.728083,-1018.91,5940.37
2022-10-01,,2752.766998,-770.69,6276.22
2022-10-31,,3659.478624,92.25,7226.70
2022-12-01,,1767.139957,-1843.81,5378.09
2022-12-31,,906.6767428,-2747.97,4561.32
2023-01-31,,1309.225612,-2438.68,5057.13
2023-03-03,,1277.03244,-2513.94,5068.00
2023-03-31,,1060.288285,-2773.73,4894.31
2023-05-01,,2566.876842,-1310.19,6443.94
2023-05-31,,3409.165035,-510.94,7329.27
2023-07-01,,1970.753843,-1992.38,5933.89
2023-07-31,,1663.445323,-2342.73,5669.62
2023-08-31,,2278.404826,-1770.81,6327.62
2023-10-01,,2570.443741,-1521.81,6662.70
2023-10-31,,3477.155367,-658.15,7612.46
2023-12-01,,1584.8167,-2593.55,5763.18
2023-12-31,,724.3534855,-3497.08,4945.79
